open_time,open_price,high_price,low_price,close_price,close_volume,close_time,quote_asset_volume,number_of_trades,taker_buy_quote_volume,taker_buy_base_volume,ignore
1678698000000,1586.7,1593.5,1564.18,1570.33,559102.751,1678701599999,881932426.46753,329854,271906.104,428943814.22922,0.0
1678701600000,1570.32,1585.89,1568.03,1582.85,309704.94,1678705199999,488482275.87138,191370,165318.211,260811475.27416,0.0
1678705200000,1582.84,1585.64,1574.05,1580.62,187707.829,1678708799999,296585737.71677,129003,93475.221,147702089.89046,0.0
1678708800000,1580.62,1583.37,1571.68,1582.0,286626.509,1678712399999,452335420.85442,176491,140379.907,221555230.44407,0.0
1678712400000,1581.87,1606.32,1578.15,1597.64,921781.841,1678715999999,1468045147.48648,502590,468124.455,745581394.86559,0.0
1678716000000,1597.64,1650.0,1592.54,1643.08,1325605.374,1678719599999,2158331170.3128,738283,692729.104,1127922892.92651,0.0
1678719600000,1643.09,1700.0,1642.96,1666.3,1292264.117,1678723199999,2163139970.45814,778180,673170.696,1126802732.42218,0.0
1678723200000,1666.31,1682.97,1647.61,1664.46,616656.684,1678726799999,1027025746.36457,370518,291676.356,485832381.80498,0.0
1678726800000,1664.46,1673.82,1651.53,1669.46,283180.279,1678730399999,471287598.80321,189139,156575.948,260625088.40786,0.0
1678730400000,1669.47,1678.39,1661.0,1677.07,227180.593,1678733999999,379631699.31861,162537,114469.731,191306034.56069,0.0
1678734000000,1677.07,1687.0,1670.19,1678.62,301044.497,1678737599999,505473965.78577,199553,151607.869,254619516.92325,0.0
1678737600000,1678.61,1680.28,1661.5,1666.24,147537.596,1678741199999,246172222.21042,118333,70840.589,118206110.82541,0.0
1678741200000,1666.25,1674.52,1662.06,1667.88,81094.077,1678744799999,135341323.82981,80444,42587.252,71070406.85612,0.0
1678744800000,1667.88,1681.98,1667.88,1680.86,117590.282,1678748399999,197223955.2911,100920,59197.021,99287877.00868,0.0
1678748400000,1680.87,1681.81,1661.16,1673.9,159651.104,1678751999999,266625910.53224,123376,79147.939,132167157.99956,0.0
1678752000000,1673.91,1679.45,1665.79,1667.2,213970.841,1678755599999,357973129.42218,147842,102281.353,171129948.48868,0.0
1678755600000,1667.21,1677.25,1663.37,1674.88,190883.823,1678759199999,318874481.76886,141588,100012.555,167072155.60541,0.0
1678759200000,1674.87,1684.52,1669.25,1669.43,163839.505,1678762799999,274633423.06283,122284,84045.474,140912790.88196,0.0
1678762800000,1669.45,1677.63,1667.31,1676.92,85204.173,1678766399999,142583074.60533,77261,45317.795,75831218.86093,0.0
1678766400000,1676.97,1677.39,1670.1,1674.62,73197.975,1678769999999,122476255.28255,69257,36647.941,61319092.34749,0.0
1678770000000,1674.62,1695.76,1665.2,1671.8,410779.443,1678773599999,689104450.80644,256643,210108.567,352556083.57508,0.0
1678773600000,1671.8,1678.77,1668.23,1671.76,116274.989,1678777199999,194587361.64915,99751,58891.891,98565763.79753,0.0
1678777200000,1671.76,1676.71,1658.49,1666.62,194961.754,1678780799999,325143731.98423,138143,93585.749,156095340.54992,0.0
1678780800000,1666.63,1669.71,1655.0,1665.4,197374.41,1678784399999,328338857.85939,146658,98648.314,164114616.66358,0.0
1678784400000,1665.39,1668.68,1661.0,1667.9,100800.802,1678787999999,167834747.46772,87488,48519.916,80789177.94526,0.0
1678788000000,1667.91,1683.85,1664.36,1681.06,189629.221,1678791599999,317485800.69153,140530,98134.729,164307528.50162,0.0
1678791600000,1681.06,1689.55,1673.17,1683.15,331839.214,1678795199999,557880094.83449,232243,160769.219,270276305.63704,0.0
1678795200000,1683.14,1740.91,1670.0,1734.65,1256694.1,1678798799999,2145912153.83852,778128,642729.635,1098108214.43409,0.0
1678798800000,1734.65,1770.89,1725.0,1733.42,1084625.134,1678802399999,1895494300.20877,675754,550598.571,962462920.85001,0.0
1678802400000,1733.45,1779.05,1722.86,1759.57,598557.809,1678805999999,1047483185.5252,396188,312540.885,547039368.70608,0.0
1678806000000,1759.52,1778.0,1754.52,1770.28,437717.121,1678809599999,773726713.74254,317034,218818.295,386865318.13971,0.0
1678809600000,1770.29,1776.0,1750.03,1764.88,388366.125,1678813199999,684536152.77236,264605,185224.651,326549563.50569,0.0
1678813200000,1764.88,1768.3,1748.51,1756.7,305418.16,1678816799999,536721520.51581,222918,148417.957,260813853.46771,0.0
1678816800000,1756.7,1759.11,1726.09,1729.09,499755.065,1678820399999,870936292.58844,336249,243279.93,424027330.38968,0.0
1678820400000,1729.09,1739.38,1688.23,1721.45,876818.005,1678823999999,1499555292.64784,513263,420896.788,719834545.48477,0.0
1678824000000,1721.43,1728.4,1695.0,1701.47,354300.94,1678827599999,606785704.8392,259351,168254.335,288154336.53253,0.0
1678827600000,1701.48,1704.68,1660.12,1697.56,527366.666,1678831199999,889125121.23223,376954,250829.419,423022984.67316,0.0
1678831200000,1697.56,1712.29,1692.16,1703.56,267252.587,1678834799999,454742207.03508,176054,135992.628,231396379.67426,0.0
1678834800000,1703.56,1708.5,1698.02,1699.93,173205.999,1678838399999,294914014.87964,124696,85065.152,144845532.49709,0.0
1678838400000,1699.93,1706.29,1682.08,1701.33,330153.704,1678841999999,559718084.57501,233942,161231.71,273403634.51838,0.0
1678842000000,1701.32,1718.34,1700.6,1710.16,363738.533,1678845599999,622215758.0561,236821,179851.096,307668352.87919,0.0
1678845600000,1710.17,1716.49,1705.0,1708.61,93391.064,1678849199999,159621387.75326,87618,44286.014,75712224.28563,0.0
1678849200000,1708.6,1709.62,1698.33,1703.07,94148.643,1678852799999,160407759.76188,83175,43914.379,74823284.39557,0.0
1678852800000,1703.07,1706.25,1699.67,1703.66,63701.01,1678856399999,108500392.75935,65870,32229.42,54897201.52429,0.0
1678856400000,1703.66,1709.19,1697.41,1699.76,85130.847,1678859999999,145063473.0811,80773,39589.203,67459538.682,0.0
1678860000000,1699.76,1707.06,1693.42,1702.79,135814.979,1678863599999,230922730.82067,113543,71557.685,121678024.5556,0.0
1678863600000,1702.8,1708.08,1697.4,1706.1,78590.172,1678867199999,133814921.96989,77933,40610.925,69161234.01048,0.0
1678867200000,1706.11,1706.45,1695.89,1698.8,108375.166,1678870799999,184339658.07397,95270,52256.306,88883022.42306,0.0
1678870800000,1698.8,1699.88,1682.31,1687.81,197271.638,1678874399999,333507150.55446,152637,89577.35,151441850.32687,0.0
1678874400000,1687.81,1692.81,1675.65,1679.34,226788.449,1678877999999,381932536.87572,184204,108822.031,183305482.73829,0.0
1678878000000,1679.33,1683.5,1650.0,1680.42,643934.515,1678881599999,1074016156.50361,413238,316314.145,527754292.10119,0.0
1678881600000,1680.42,1699.6,1655.0,1677.15,760348.169,1678885199999,1274655749.5826,476370,379286.1,635975407.52505,0.0
1678885200000,1677.15,1695.5,1665.05,1667.31,509284.432,1678888799999,856052542.82877,360223,243839.317,409931930.08146,0.0
1678888800000,1667.3,1678.2,1632.0,1655.3,828265.14,1678892399999,1370381588.08094,532985,412170.207,682091991.40202,0.0
1678892400000,1655.31,1657.08,1626.33,1634.44,674422.394,1678895999999,1106172224.86673,429490,319092.799,523472045.40726,0.0
1678896000000,1634.43,1645.7,1611.63,1616.67,690852.527,1678899599999,1125763669.86782,474611,343630.89,560114573.9025,0.0
1678899600000,1616.67,1633.2,1612.12,1630.15,464290.07,1678903199999,754749071.73659,299182,244831.851,398049833.63435,0.0
1678903200000,1630.15,1647.91,1621.01,1647.15,377250.576,1678906799999,617432787.89403,274839,196755.413,322029634.91623,0.0
